Time,Connectivity,Reachability
71.33,0,0.44
71.50,0,0.44
71.67,0,0.44
71.83,0,0.44
72.00,0,0.44
72.17,0,0.44
72.33,0,0.44
72.50,0,0.44
72.67,0,0.44
72.83,0,0.44
73.00,0,0.44
73.17,0,0.44
73.33,0,0.44
73.50,0,0.44
73.67,0,0.44
73.83,0,0.44
74.00,0,0.44
74.17,0,0.44
74.33,0,0.44
74.50,0,0.44
74.67,0,0.44
74.83,0,0.44
75.00,0,0.44
75.17,0,0.44
75.33,0,0.44
75.50,0,0.44
75.67,0,0.44
75.83,0,0.44
76.00,0,0.44
76.17,0,0.44
76.33,0,0.44
76.50,0,0.44
76.67,0,0.44
76.83,0,0.44
77.00,0,0.44
77.17,0,0.44
77.33,0,0.44
77.50,0,0.44
77.67,0,0.44
77.83,0,0.44
78.00,0,0.44
78.17,0,0.44
78.33,0,0.44
78.50,0,0.44
78.67,0,0.44
78.83,0,0.44
79.00,0,0.44
79.17,0,0.44
79.33,0,0.44
79.50,1,1.00
79.67,1,1.00
79.83,1,1.00
80.00,1,1.00
80.00,1,1.00
80.17,1,1.00
80.33,1,1.00
80.50,0,0.49
80.67,0,0.49
80.83,0,0.49
81.00,0,0.49
81.17,0,0.49
81.33,0,0.49
81.50,0,0.49
81.67,0,0.49
81.83,0,0.49
82.00,0,0.49
82.17,0,0.49
82.33,0,0.49
82.50,0,0.49
82.67,0,0.49
82.83,0,0.49
83.00,0,0.49
83.17,0,0.49
83.33,0,0.49
83.50,0,0.49
83.67,0,0.49
83.83,0,0.36
84.00,0,0.36
84.17,0,0.36
84.33,0,0.36
84.50,0,0.36
84.67,0,0.36
84.83,0,0.36
85.00,0,0.36
85.17,0,0.36
85.33,0,0.36
85.50,0,0.36
85.67,0,0.36
85.83,0,0.36
86.00,0,0.36
86.17,0,0.36
86.33,0,0.36
86.50,0,0.36
86.67,0,0.36
86.83,0,0.36
87.00,0,0.36
87.17,0,0.36
87.33,0,0.36
87.50,0,0.36
87.67,0,0.36
87.83,0,0.16
88.00,0,0.16
88.17,0,0.16
88.33,0,0.16
88.50,0,0.11
88.67,0,0.11
88.83,0,0.11
89.00,0,0.11
89.17,0,0.11
89.33,0,0.11
89.50,0,0.11
89.67,0,0.24
89.83,0,0.24
90.00,0,0.24
90.17,0,0.24
90.33,0,0.24
90.50,0,0.24
