Time,Connectivity,Reachability
131.33,0,0.40
131.50,0,0.40
131.67,0,0.40
131.83,0,0.40
132.00,0,0.40
132.17,0,0.40
132.33,0,0.40
132.50,0,0.40
132.67,0,0.40
132.83,0,0.40
133.00,0,0.40
133.17,0,0.40
133.33,0,0.40
133.50,0,0.40
133.67,0,0.40
133.83,0,0.40
134.00,0,0.40
134.17,0,0.40
134.33,0,0.40
134.50,0,0.40
134.67,0,0.40
134.83,0,0.40
135.00,0,0.40
135.17,0,0.40
135.33,0,0.40
135.50,0,0.40
135.67,0,0.40
135.83,0,0.40
136.00,0,0.40
136.17,0,0.40
136.33,0,0.40
136.50,0,0.40
136.67,0,0.40
136.83,0,0.40
137.00,0,0.40
137.17,0,0.40
137.33,0,0.40
137.50,0,0.40
137.67,0,0.40
137.83,0,0.40
138.00,0,0.40
138.17,0,0.40
138.33,0,0.40
138.50,0,0.40
138.67,0,0.40
138.83,0,0.40
139.00,0,0.40
139.17,0,0.40
139.33,0,0.80
139.50,1,1.00
139.67,1,1.00
139.83,1,1.00
140.00,1,1.00
140.00,1,1.00
140.17,1,1.00
140.33,1,1.00
140.50,1,1.00
140.67,1,1.00
140.83,0,0.40
141.00,0,0.40
141.17,0,0.40
141.33,0,0.40
141.50,0,0.40
141.67,0,0.40
141.83,0,0.40
142.00,0,0.40
142.17,0,0.40
142.33,0,0.40
142.50,0,0.40
142.67,0,0.40
142.83,0,0.40
143.00,0,0.40
143.17,0,0.40
143.33,0,0.40
143.50,0,0.40
143.67,0,0.40
143.83,0,0.27
144.00,0,0.27
144.17,0,0.27
144.33,0,0.27
144.50,0,0.27
144.67,0,0.27
144.83,0,0.27
145.00,0,0.27
145.17,0,0.27
145.33,0,0.27
145.50,0,0.27
145.67,0,0.27
145.83,0,0.27
146.00,0,0.27
146.17,0,0.27
146.33,0,0.27
146.50,0,0.27
146.67,0,0.27
146.83,0,0.27
147.00,0,0.27
147.17,0,0.27
147.33,0,0.27
147.50,0,0.27
147.67,0,0.27
147.83,0,0.27
148.00,0,0.27
148.17,0,0.27
148.33,0,0.27
148.50,0,0.27
148.67,0,0.27
148.83,0,0.27
149.00,0,0.27
149.17,0,0.27
149.33,0,0.27
149.50,0,0.27
149.67,0,0.27
149.83,0,0.27
150.00,0,0.27
150.17,0,0.27
150.33,0,0.27
